branch_file,kind,top_left_x,top_left_y,center_x,center_y,width,height,right,bottom,score
s_2hAxe_branch_0.png,road_tb,42,70,43.0,70.0,3,1,44,70,3
s_2hAxe_branch_0.png,road_tb,80,70,81.0,70.0,3,1,82,70,3
s_2hAxe_branch_0.png,road_tb,118,70,119.0,70.0,3,1,120,70,3
s_2hAxe_branch_0.png,road_tb,42,71,43.0,71.0,3,1,44,71,3
s_2hAxe_branch_0.png,road_tb,80,71,81.0,71.0,3,1,82,71,3
s_2hAxe_branch_0.png,road_tb,118,71,119.0,71.0,3,1,120,71,3
s_2hAxe_branch_0.png,road_tb,42,72,43.0,72.0,3,1,44,72,3
s_2hAxe_branch_0.png,road_tb,80,72,81.0,72.0,3,1,82,72,3
s_2hAxe_branch_0.png,road_tb,118,72,119.0,72.0,3,1,120,72,3
s_2hAxe_branch_0.png,road_tb,42,73,43.0,73.0,3,1,44,73,3
s_2hAxe_branch_0.png,road_tb,80,73,81.0,73.0,3,1,82,73,3
s_2hAxe_branch_0.png,road_tb,118,73,119.0,73.0,3,1,120,73,3
s_2hAxe_branch_0.png,road_tb,42,74,43.0,74.0,3,1,44,74,3
s_2hAxe_branch_0.png,road_tb,80,74,81.0,74.0,3,1,82,74,3
s_2hAxe_branch_0.png,road_tb,118,74,119.0,74.0,3,1,120,74,3
s_2hAxe_branch_0.png,road_tb,42,75,43.0,75.0,3,1,44,75,3
s_2hAxe_branch_0.png,road_tb,80,75,81.0,75.0,3,1,82,75,3
s_2hAxe_branch_0.png,road_tb,118,75,119.0,75.0,3,1,120,75,3
s_2hAxe_branch_0.png,road_tb,42,76,43.0,76.0,3,1,44,76,3
s_2hAxe_branch_0.png,road_tb,80,76,81.0,76.0,3,1,82,76,3
s_2hAxe_branch_0.png,road_tb,118,76,119.0,76.0,3,1,120,76,3
s_2hAxe_branch_0.png,road_tb,42,77,43.0,77.0,3,1,44,77,3
s_2hAxe_branch_0.png,road_tb,80,77,81.0,77.0,3,1,82,77,3
s_2hAxe_branch_0.png,road_tb,118,77,119.0,77.0,3,1,120,77,3
s_2hAxe_branch_0.png,road_tb,42,78,43.0,78.0,3,1,44,78,3
s_2hAxe_branch_0.png,road_tb,80,78,81.0,78.0,3,1,82,78,3
s_2hAxe_branch_0.png,road_tb,118,78,119.0,78.0,3,1,120,78,3
s_2hAxe_branch_0.png,road_tb,42,79,43.0,79.0,3,1,44,79,3
s_2hAxe_branch_0.png,road_tb,80,79,81.0,79.0,3,1,82,79,3
s_2hAxe_branch_0.png,road_tb,118,79,119.0,79.0,3,1,120,79,3
s_2hAxe_branch_0.png,road_tb,42,80,43.0,80.0,3,1,44,80,3
s_2hAxe_branch_0.png,road_tb,80,80,81.0,80.0,3,1,82,80,3
s_2hAxe_branch_0.png,road_tb,118,80,119.0,80.0,3,1,120,80,3
s_2hAxe_branch_0.png,road_tb,42,81,43.0,81.0,3,1,44,81,3
s_2hAxe_branch_0.png,road_tb,80,81,81.0,81.0,3,1,82,81,3
s_2hAxe_branch_0.png,road_tb,118,81,119.0,81.0,3,1,120,81,3
s_2hAxe_branch_0.png,road_tb,42,82,43.0,82.0,3,1,44,82,3
s_2hAxe_branch_0.png,road_tb,80,82,81.0,82.0,3,1,82,82,3
s_2hAxe_branch_0.png,road_tb,118,82,119.0,82.0,3,1,120,82,3
s_2hAxe_branch_0.png,road_tb,42,83,43.0,83.0,3,1,44,83,3
s_2hAxe_branch_0.png,road_tb,80,83,81.0,83.0,3,1,82,83,3
s_2hAxe_branch_0.png,road_tb,118,83,119.0,83.0,3,1,120,83,3
s_2hAxe_branch_0.png,road_tb,42,84,43.0,84.0,3,1,44,84,3
s_2hAxe_branch_0.png,road_tb,80,84,81.0,84.0,3,1,82,84,3
s_2hAxe_branch_0.png,road_tb,118,84,119.0,84.0,3,1,120,84,3
s_2hAxe_branch_0.png,road_tb,42,85,43.0,85.0,3,1,44,85,3
s_2hAxe_branch_0.png,road_tb,80,85,81.0,85.0,3,1,82,85,3
s_2hAxe_branch_0.png,road_tb,118,85,119.0,85.0,3,1,120,85,3
s_2hAxe_branch_0.png,road_tb,42,86,43.0,86.0,3,1,44,86,3
s_2hAxe_branch_0.png,road_tb,118,86,119.0,86.0,3,1,120,86,3
s_2hAxe_branch_0.png,road_tb,80,93,81.0,93.0,3,1,82,93,3
s_2hAxe_branch_0.png,road_tb,80,94,81.0,94.0,3,1,82,94,3
s_2hAxe_branch_0.png,road_tb,80,95,81.0,95.0,3,1,82,95,3
s_2hAxe_branch_0.png,road_tb,80,96,81.0,96.0,3,1,82,96,3
s_2hAxe_branch_0.png,road_tb,80,97,81.0,97.0,3,1,82,97,3
s_2hAxe_branch_0.png,road_tb,23,102,24.0,102.0,3,1,25,102,3
s_2hAxe_branch_0.png,road_tb,61,102,62.0,102.0,3,1,63,102,3
s_2hAxe_branch_0.png,road_tb,99,102,100.0,102.0,3,1,101,102,3
s_2hAxe_branch_0.png,road_tb,137,102,138.0,102.0,3,1,139,102,3
s_2hAxe_branch_0.png,road_tb,23,103,24.0,103.0,3,1,25,103,3
s_2hAxe_branch_0.png,road_tb,61,103,62.0,103.0,3,1,63,103,3
s_2hAxe_branch_0.png,road_tb,99,103,100.0,103.0,3,1,101,103,3
s_2hAxe_branch_0.png,road_tb,137,103,138.0,103.0,3,1,139,103,3
s_2hAxe_branch_0.png,road_tb,23,104,24.0,104.0,3,1,25,104,3
